Request_ID,Request_Time,Status,Passengers,Pickup_Lat,Pickup_Lon,Dropoff_Lat,Dropoff_Lon,Exp_Pickup_Time,Exp_Dropoff_Time,Act_Pickup_Time,Act_Dropoff_Time
R214977,2025-10-01 20:19:00,COMPLETED,1,40.80803009,-73.96373045,40.82175213,-73.95396285,2025-10-01 20:20:23,2025-10-01 20:23:44,2025-10-01 20:20:27,2025-10-01 20:24:08
R214972,2025-10-01 20:18:00,COMPLETED,1,40.80753548,-73.96257274,40.7969447,-73.9624368,2025-10-01 20:18:54,2025-10-01 20:24:45,2025-10-01 20:18:54,2025-10-01 20:24:45
R214982,2025-10-01 20:21:00,COMPLETED,1,40.81665269,-73.95801164,40.80869268,-73.95921361,2025-10-01 20:21:44,2025-10-01 20:24:54,2025-10-01 20:21:44,2025-10-01 20:24:54
R214989,2025-10-01 20:23:00,COMPLETED,1,40.815487,-73.95859703,40.81394549,-73.96185089,2025-10-01 20:24:45,2025-10-01 20:25:47,2025-10-01 20:24:45,2025-10-01 20:25:47
R214995,2025-10-01 20:24:00,COMPLETED,3,40.80866883,-73.95922132,40.80476346,-73.9639172,2025-10-01 20:24:54,2025-10-01 20:25:58,2025-10-01 20:24:54,2025-10-01 20:25:58
R214991,2025-10-01 20:24:00,COMPLETED,1,40.80294532,-73.96479093,40.80948038,-73.9580911,2025-10-01 20:24:46,2025-10-01 20:26:51,2025-10-01 20:24:46,2025-10-01 20:26:51
R214984,2025-10-01 20:22:00,COMPLETED,1,40.8097912,-73.9593562,40.81255544,-73.95139061,2025-10-01 20:24:06,2025-10-01 20:26:19,2025-10-01 20:24:03,2025-10-01 20:26:16
R214994,2025-10-01 20:24:00,COMPLETED,2,40.80701525,-73.96089301,40.8038844,-73.9665046,2025-10-01 20:25:30,2025-10-01 20:26:55,2025-10-01 20:25:30,2025-10-01 20:26:55
R214983,2025-10-01 20:22:00,COMPLETED,1,40.80493909,-73.96385293,40.80966385,-73.94768883,2025-10-01 20:22:54,2025-10-01 20:26:48,2025-10-01 20:22:54,2025-10-01 20:27:37
R214987,2025-10-01 20:23:00,COMPLETED,1,40.8097912,-73.9593562,40.80611,-73.95424,2025-10-01 20:25:06,2025-10-01 20:27:44,2025-10-01 20:25:03,2025-10-01 20:27:40
R214997,2025-10-01 20:25:00,COMPLETED,1,40.8000759,-73.96598753,40.8111612,-73.9610756,2025-10-01 20:25:49,2025-10-01 20:28:35,2025-10-01 20:25:49,2025-10-01 20:28:35
R214981,2025-10-01 20:21:00,COMPLETED,1,40.81802692,-73.95932324,40.80527,-73.9563877,2025-10-01 20:22:16,2025-10-01 20:28:43,2025-10-01 20:22:16,2025-10-01 20:28:43
R215000,2025-10-01 20:26:00,COMPLETED,2,40.80537787,-73.9636302,40.8099919,-73.9619593,2025-10-01 20:27:24,2025-10-01 20:28:49,2025-10-01 20:27:24,2025-10-01 20:28:49
R214978,2025-10-01 20:20:00,COMPLETED,1,40.8182581,-73.9593595,40.79893911,-73.96854937,2025-10-01 20:22:25,2025-10-01 20:27:20,2025-10-01 20:22:27,2025-10-01 20:28:11
